CH1,CH2,CH3,CH4
-1.17E-02,4.67E-03,1.14E-01,-1.30E-01
-1.12E-02,4.75E-03,1.13E-01,-1.30E-01
-1.12E-02,4.68E-03,1.14E-01,-1.30E-01
-1.17E-02,4.57E-03,1.14E-01,-1.30E-01
-1.20E-02,4.56E-03,1.14E-01,-1.30E-01
-1.17E-02,4.65E-03,1.14E-01,-1.30E-01
-1.12E-02,4.72E-03,1.13E-01,-1.30E-01
-1.12E-02,4.66E-03,1.14E-01,-1.30E-01
-1.18E-02,4.53E-03,1.14E-01,-1.30E-01
-1.21E-02,4.51E-03,1.14E-01,-1.30E-01
-1.18E-02,4.62E-03,1.14E-01,-1.30E-01
-1.12E-02,4.71E-03,1.13E-01,-1.30E-01
-1.12E-02,4.65E-03,1.14E-01,-1.30E-01
-1.18E-02,4.53E-03,1.14E-01,-1.30E-01
-1.21E-02,4.54E-03,1.14E-01,-1.30E-01
-1.17E-02,4.65E-03,1.14E-01,-1.30E-01
-1.12E-02,4.71E-03,1.13E-01,-1.30E-01
-1.12E-02,4.64E-03,1.14E-01,-1.30E-01
-1.18E-02,4.52E-03,1.14E-01,-1.30E-01
-1.21E-02,4.52E-03,1.14E-01,-1.30E-01
-1.18E-02,4.62E-03,1.14E-01,-1.30E-01
-1.12E-02,4.69E-03,1.13E-01,-1.30E-01
-1.12E-02,4.62E-03,1.14E-01,-1.30E-01
-1.18E-02,4.52E-03,1.14E-01,-1.30E-01
-1.21E-02,4.51E-03,1.14E-01,-1.30E-01
-1.18E-02,4.60E-03,1.14E-01,-1.30E-01
-1.12E-02,4.68E-03,1.13E-01,-1.30E-01
-1.12E-02,4.62E-03,1.14E-01,-1.30E-01
-1.18E-02,4.51E-03,1.14E-01,-1.30E-01
-1.21E-02,4.51E-03,1.14E-01,-1.30E-01
-1.18E-02,4.61E-03,1.14E-01,-1.30E-01
-1.12E-02,4.68E-03,1.13E-01,-1.30E-01
-1.12E-02,4.62E-03,1.14E-01,-1.30E-01
-1.18E-02,4.49E-03,1.14E-01,-1.30E-01
-1.21E-02,4.50E-03,1.14E-01,-1.30E-01
-1.18E-02,4.62E-03,1.14E-01,-1.30E-01
-1.12E-02,4.69E-03,1.13E-01,-1.30E-01
-1.12E-02,4.62E-03,1.14E-01,-1.30E-01
-1.18E-02,4.51E-03,1.14E-01,-1.30E-01
-1.21E-02,4.49E-03,1.14E-01,-1.30E-01
-1.18E-02,4.60E-03,1.14E-01,-1.30E-01
-1.12E-02,4.69E-03,1.13E-01,-1.30E-01
-1.12E-02,4.64E-03,1.14E-01,-1.30E-01
-1.18E-02,4.52E-03,1.14E-01,-1.30E-01
-1.21E-02,4.51E-03,1.14E-01,-1.30E-01
-1.18E-02,4.61E-03,1.14E-01,-1.30E-01
-1.12E-02,4.67E-03,1.13E-01,-1.30E-01
-1.12E-02,4.61E-03,1.14E-01,-1.30E-01
-1.18E-02,4.51E-03,1.14E-01,-1.30E-01
-1.21E-02,4.51E-03,1.14E-01,-1.30E-01
-1.18E-02,4.61E-03,1.14E-01,-1.30E-01
-1.12E-02,4.68E-03,1.13E-01,-1.30E-01
-1.12E-02,4.63E-03,1.14E-01,-1.30E-01
-1.18E-02,4.51E-03,1.14E-01,-1.30E-01
-1.21E-02,4.50E-03,1.14E-01,-1.30E-01
-1.18E-02,4.61E-03,1.14E-01,-1.30E-01
-1.12E-02,4.68E-03,1.13E-01,-1.30E-01
-1.12E-02,4.62E-03,1.14E-01,-1.30E-01
-1.18E-02,4.51E-03,1.14E-01,-1.30E-01
-1.21E-02,4.50E-03,1.14E-01,-1.30E-01
